Product,CAS# ,H.S. Code,Uses,Group
Benzalacetone,122-57-6,,"Flavoring ingredient in food and perfumes, Brightening agent, Organic synthesis, Inhibiting enzyme phospholipase A2",Surfactants and Solvents
1'-Acetonaphthone,941-98-0,,"Abrasive, Catalyst, Absorbent in petroleum industry, Filler for coatings, Food additive, Ceramics, Glass, Refractories, Electrical insulators and resistors, Fluxes, Dental cements, and Chromatographic applications",Surfactants and Solvents
2-Phenylacetophenone,451-40-1,,"Photoinitiator, Antibacterial activity, Production of acrylate polymers, and in UV curing systems for ink, paper, and metal paints. It can also be used to make UV-curing silicone rubber.",Surfactants and Solvents
Benzyl propionate,122-63-4,,"Perfumes, Cosmetics, Toiletries, Household cleaners and detergents, Air fresheners",Surfactants and Solvents
Benzyl salicylate,118-58-1,,"Perfumes, Cosmetics, Toiletries, Household cleaners and detergents, Air fresheners, UV absorber, Flavor",Surfactants and Solvents
Chloral (Trichloroacetaldehyde),75-86-6,,"Sedative and hypnotic, Intermediate in production, Beckmann rearrangement, Avian capture, Physiological studies",Intermediates
Metaphenoxy Benzaldehyde,39515-51-0,,Chemical intermediate in the production of synthetic pyrethroid insecticides,Intermediates
Metaphenoxy Benzyl alcohol,13826--35-2,,Chemical intermediate in the production of synthetic pyrethroid insecticides,Intermediates
Cypermethrin Technical,52315-07-8,,"Synthetic pyrethroid insecticide, Pest control, Household ant and cockroach killers, Treating adult lice, Treating leaf-footed bugs",AITechnical
Alpha Cypermethrine Technical,67375-30-8,,"Agriculture insecticide, Veterinary medicine, Public health, Forestry, Ornamentals",AITechnical
Deltamethrin Technical,52918-63-5,,"Agriculture insecticide, Veterinary medicine, Public health, Storage",AITechnical
Lambda Cyhalothrine,91465-08-6,,"Agriculture insecticide, Veterinary medicine, Public health, Storage, Disease vector control",AITechnical
Mancozeb Technical,1/7/8018,,"Crop protection, Seed treatment, Ornamental plants, Sod farms",AITechnical
Malathion Technical,121-75-5,,"Agriculture insecticide, Veterinary medicine, Public health, Home garden, Head lice",AITechnical
Permethrin Technical,52645-53-1,,"Agriculture insecticide, Livestock, Public health, Residential, Termite control, Forestry, Storage, Wood Preservative",AITechnical
